t [s]            Q [m3/s] 
0.000000	1956.143202
3600.000000	1966.833544
7200.000000	1921.932599
10800.000000	1903.718123
14400.000000	1934.083053
18000.000000	2007.473611
21600.000000	2107.991010
25200.000000	2219.896241
28800.000000	2331.045458
32400.000000	2434.027014
36000.000000	2525.246626
39600.000000	2605.070035
43200.000000	2674.696638
46800.000000	2736.726944
50400.000000	2794.495267
54000.000000	2851.794046
57600.000000	2912.506770
61200.000000	2978.546732
64800.000000	3049.858538
68400.000000	3126.061735
72000.000000	3206.254752
75600.000000	3289.075290
79200.000000	3371.906748
82800.000000	3452.053959
86400.000000	3528.346189
90000.000000	3599.969404
93600.000000	3666.648286
97200.000000	3729.628535
100800.000000	3789.424877
104400.000000	3845.576162
108000.000000	3897.791090
111600.000000	3946.509392
115200.000000	3991.381398
118800.000000	4033.409084
122400.000000	4074.905141
126000.000000	4117.756291
129600.000000	4163.043527
133200.000000	4210.817540
136800.000000	4261.120010
140400.000000	4313.832901
144000.000000	4368.698066
147600.000000	4424.748349
151200.000000	4480.886493
154800.000000	4535.941412
158400.000000	4589.570432
162000.000000	4643.045783
165600.000000	4695.999746
169200.000000	4749.079466
172800.000000	4802.296081
176400.000000	4855.610355
180000.000000	4909.174449
183600.000000	4962.053689
187200.000000	5013.737720
190800.000000	5062.945833
194400.000000	5109.761564
198000.000000	5154.929661
201600.000000	5199.883018
205200.000000	5244.164639
208800.000000	5287.470585
212400.000000	5329.570675
216000.000000	5371.426785
219600.000000	5412.407852
223200.000000	5451.607482
226800.000000	5489.652670
230400.000000	5526.123391
234000.000000	5559.633213
237600.000000	5590.005372
241200.000000	5616.946475
244800.000000	5641.280021
248400.000000	5663.885270
252000.000000	5684.731081
255600.000000	5704.402985
259200.000000	5724.515262
262800.000000	5746.212040
266400.000000	5769.014456
270000.000000	5791.182299
273600.000000	5813.795870
277200.000000	5837.895810
280800.000000	5862.852333
284400.000000	5887.591810
288000.000000	5910.959483
291600.000000	5932.999893
295200.000000	5954.384139
298800.000000	5974.537088
302400.000000	5992.863137
306000.000000	6009.811643
309600.000000	6025.184418
313200.000000	6037.808245
316800.000000	6045.719957
320400.000000	6048.003070
324000.000000	6045.128908
327600.000000	6038.319627
331200.000000	6028.489571
334800.000000	6015.708940
338400.000000	5999.268750
342000.000000	5979.956406
345600.000000	5958.074307
349200.000000	5934.575311
352800.000000	5911.340404
356400.000000	5887.979976
360000.000000	5862.825894
363600.000000	5834.647219
367200.000000	5803.828005
370800.000000	5768.953300
374400.000000	5730.252914
378000.000000	5688.175272
381600.000000	5644.461400
385200.000000	5600.011884
388800.000000	5555.711812
392400.000000	5513.174851
396000.000000	5473.397852
399600.000000	5436.275288
403200.000000	5401.402355
406800.000000	5368.982434
410400.000000	5339.011866
414000.000000	5313.524236
417600.000000	5293.520623
421200.000000	5278.713591
424800.000000	5268.603204
428400.000000	5261.143688
432000.000000	5253.365347
435600.000000	5244.893824
439200.000000	5235.551137
442800.000000	5224.765385
446400.000000	5212.963121
450000.000000	5200.286899
453600.000000	5188.270459
457200.000000	5177.696758
460800.000000	5169.710461
464400.000000	5164.009168
468000.000000	5159.435835
471600.000000	5155.147003
475200.000000	5149.289575
478800.000000	5141.037733
482400.000000	5130.476128
486000.000000	5116.677527
489600.000000	5099.166589
493200.000000	5078.388669
496800.000000	5055.416674
500400.000000	5029.525914
504000.000000	5000.060531
507600.000000	4967.876636
511200.000000	4932.817711
514800.000000	4893.039957
518400.000000	4847.553487
522000.000000	4796.880850
525600.000000	4741.394750
529200.000000	4681.760653
532800.000000	4618.127526
536400.000000	4550.966306
540000.000000	4480.706241
543600.000000	4407.757780
547200.000000	4332.820551
550800.000000	4256.443274
554400.000000	4179.415685
558000.000000	4102.907122
561600.000000	4027.969950
565200.000000	3956.058979
568800.000000	3888.495513
572400.000000	3826.490968
576000.000000	3770.909304
579600.000000	3722.145716
583200.000000	3681.463161
586800.000000	3649.961749
590400.000000	3627.610690
594000.000000	3612.941503
597600.000000	3604.427733
601200.000000	3599.747057
604800.000000	3598.227991
608400.000000	3599.724552
612000.000000	3602.866772
615600.000000	3606.609166
619200.000000	3609.477681
622800.000000	3609.362189
626400.000000	3605.104042
630000.000000	3595.560010
633600.000000	3581.269712
637200.000000	3563.450748
640800.000000	3543.070598
644400.000000	3521.545066
648000.000000	3499.537527
651600.000000	3476.835157
655200.000000	3453.284457
658800.000000	3429.257653
662400.000000	3405.396536
666000.000000	3381.969076
669600.000000	3357.149068
673200.000000	3328.825260
676800.000000	3296.024427
680400.000000	3256.516552
684000.000000	3208.678643
687600.000000	3151.377963
691200.000000	3084.250349
694800.000000	3009.686684
698400.000000	2930.829445
702000.000000	2849.231433
705600.000000	2766.901972
709200.000000	2686.896527
712800.000000	2612.507026
716400.000000	2544.872642
720000.000000	2483.938157
723600.000000	2426.648027
727200.000000	2368.515124
730800.000000	2309.425969
734400.000000	2259.406438
738000.000000	2252.084555
