tag l96 Niter 1000000
1 1.6906799255942144
2 1.4816076392514066
3 1.307977037497614
4 1.1517499166354566
5 1.0110105124953703
6 0.874770924723229
7 0.7436061134352164
8 0.6182565062234766
9 0.49597929617184855
10 0.3739419819967448
11 0.25781707805559495
12 0.14284177941345538
13 0.029427776596249653
14 -0.0002353156991947806
15 -0.08548835746057741
16 -0.20051046658700256
17 -0.31928359785336485
18 -0.43269616206679784
19 -0.5488609464536707
20 -0.6658993424227208
21 -0.7756492138778732
22 -0.8904331958129272
23 -1.0019821821453923
24 -1.1156568638020152
25 -1.2311313810917486
26 -1.353104282814897
27 -1.480426054627027
28 -1.616181475419265
29 -1.763834904775593
30 -1.9307119663550782
31 -2.117213137711418
32 -2.3293788995933875
33 -2.5791531389105318
34 -2.872216671088821
35 -3.2383182618534687
36 -3.663832708621915
37 -4.064963468602097
38 -4.378722403252473
39 -4.640652798245131
40 -4.89176505384369
